,caption,caption_list
27,"RT @LePro_1:  Make Art Not War! 

Crypto Cannabis Art Collection at @OpenSea 
1/1 hand-drawn illustrations of cannabis flowers 

#","['make', 'art', 'crypto', 'cannabis', 'art', 'collection', '1/1', 'hand-drawn', 'illustrations', 'cannabis', 'flowers']"
28,"RT @LePro_1:  Make Art Not War! 

Crypto Cannabis Art Collection at @OpenSea 
1/1 hand-drawn illustrations of cannabis flowers 

#","['make', 'art', 'crypto', 'cannabis', 'art', 'collection', '1/1', 'hand-drawn', 'illustrations', 'cannabis', 'flowers']"
117,"""For too long, our courts haven't looked like America,"" @POTUS says as he announces 1st Black woman nominee for https://t.co/LJYkeBTZFx","['``', 'long', 'courts', ""n't"", 'looked', 'like', 'america', ""''"", 'says', 'announces', '1st', 'black', 'woman', 'nominee', 'https', '//t.co/ljykebtzfx']"
309,"RT @ricktroche333: If you haven't heard now you have@secretseshnfts @StonerApeClub @CryptoCannaClub 
.
.
.
#Secret #Ethereum #cry","[""n't"", 'heard', 'secretseshnfts', 'secret', 'ethereum', 'cry']"
360,RT @AngelOfCannabis: Stop right there! #StonerFam #smokeweed #CannabisCommunity https://t.co/bIGqhJj89X,"['stop', 'right', 'stonerfam', 'smokeweed', 'cannabiscommunity', 'https', '//t.co/bigqhjj89x']"
612,RT @KannabiaSeeds:  LA BLANCA by #KannabiaSeeds  @IntKannabia @Kannabia_Samen @Kannabia_US  Gracias a la amiga #kannabista @Sophie_MJ ,"['blanca', 'gracias', 'amiga', 'kannabista']"
613,RT @KannabiaSeeds:  LA BLANCA by #KannabiaSeeds  @IntKannabia @Kannabia_Samen @Kannabia_US  Gracias a la amiga #kannabista @Sophie_MJ ,"['blanca', 'gracias', 'amiga', 'kannabista']"
614,RT @KannabiaSeeds:  LA BLANCA by #KannabiaSeeds  @IntKannabia @Kannabia_Samen @Kannabia_US  Gracias a la amiga #kannabista @Sophie_MJ ,"['blanca', 'gracias', 'amiga', 'kannabista']"
615,RT @KannabiaSeeds:  LA BLANCA by #KannabiaSeeds  @IntKannabia @Kannabia_Samen @Kannabia_US  Gracias a la amiga #kannabista @Sophie_MJ ,"['blanca', 'gracias', 'amiga', 'kannabista']"
621,"RT @GrowthFi: ""Entrenched in purpose: "" Founders of Viola and Gold Standard Farms live out their Black family legacies in the cannabis indu","['``', 'entrenched', 'purpose', '``', 'founders', 'viola', 'gold', 'standard', 'farms', 'live', 'black', 'family', 'legacies', 'cannabis', 'indu']"
630,"RT @KannabiaSeeds:  GNOMO AUTO  by #KannabiaSeeds @IntKannabia @Kannabia_US
 Gracias a un annimo amigo #kannabista 
 #GnomoAuto","['gnomo', 'auto', 'gracias', 'annimo', 'amigo', 'kannabista', 'gnomoauto']"
631,"RT @KannabiaSeeds:  GNOMO AUTO  by #KannabiaSeeds @IntKannabia @Kannabia_US
 Gracias a un annimo amigo #kannabista 
 #GnomoAuto","['gnomo', 'auto', 'gracias', 'annimo', 'amigo', 'kannabista', 'gnomoauto']"
632,"RT @KannabiaSeeds:  GNOMO AUTO  by #KannabiaSeeds @IntKannabia @Kannabia_US
 Gracias a un annimo amigo #kannabista 
 #GnomoAuto","['gnomo', 'auto', 'gracias', 'annimo', 'amigo', 'kannabista', 'gnomoauto']"
639,"RT @KannabiaSeeds:  COOKIES HAZE by #KannabiaSeeds  @IntKannabia @Kannabia_US
 Gracias al amigo #kannabista @perrymason420 
 #Coo","['cookies', 'haze', 'gracias', 'amigo', 'kannabista', 'coo']"
640,"RT @KannabiaSeeds:  COOKIES HAZE by #KannabiaSeeds  @IntKannabia @Kannabia_US
 Gracias al amigo #kannabista @perrymason420 
 #Coo","['cookies', 'haze', 'gracias', 'amigo', 'kannabista', 'coo']"
641,"RT @KannabiaSeeds:  COOKIES HAZE by #KannabiaSeeds  @IntKannabia @Kannabia_US
 Gracias al amigo #kannabista @perrymason420 
 #Coo","['cookies', 'haze', 'gracias', 'amigo', 'kannabista', 'coo']"
648,RT @GrowthFi: Best HHC Cigarettes : Top Brands To Buy Hemp Cigarettes In 2022 | Best HHC Products From Strongest Weed Strains https://t.co/,"['best', 'hhc', 'cigarettes', 'top', 'brands', 'buy', 'hemp', 'cigarettes', '2022', 'best', 'hhc', 'products', 'strongest', 'weed', 'strains', 'https', '//t.co/']"
657,"RT @KannabiaSeeds:  COOKIES HAZE by #KannabiaSeeds  @IntKannabia @Kannabia_US @Kannabia_Samen
 Gracias a la amiga #kannabista @Sophie_MJ","['cookies', 'haze', 'gracias', 'amiga', 'kannabista']"
658,"RT @KannabiaSeeds:  COOKIES HAZE by #KannabiaSeeds  @IntKannabia @Kannabia_US @Kannabia_Samen
 Gracias a la amiga #kannabista @Sophie_MJ","['cookies', 'haze', 'gracias', 'amiga', 'kannabista']"
659,"RT @KannabiaSeeds:  COOKIES HAZE by #KannabiaSeeds  @IntKannabia @Kannabia_US @Kannabia_Samen
 Gracias a la amiga #kannabista @Sophie_MJ","['cookies', 'haze', 'gracias', 'amiga', 'kannabista']"
660,"RT @KannabiaSeeds:  COOKIES HAZE by #KannabiaSeeds  @IntKannabia @Kannabia_US @Kannabia_Samen
 Gracias a la amiga #kannabista @Sophie_MJ","['cookies', 'haze', 'gracias', 'amiga', 'kannabista']"
675,"RT @GrowthFi: As new brand ambassador for CBD product, Jimmie Johnson branches out with branding https://t.co/zUiNQhFy5n via @Yahoo #cannab","['new', 'brand', 'ambassador', 'cbd', 'product', 'jimmie', 'johnson', 'branches', 'branding', 'https', '//t.co/zuinqhfy5n', 'via', 'cannab']"
702,"RT @GrowthFi: COVID-19 Impact Analysis of Medical Marijuana Market 2028 | Key Players Cannabis Sativa, Inc.; Cara Therapeutics Inc., Inc.;","['covid-19', 'impact', 'analysis', 'medical', 'marijuana', 'market', '2028', 'key', 'players', 'cannabis', 'sativa', 'inc.', 'therapeutics', 'inc.', 'inc.']"
711,"RT @GrowthFi: $JSDA Jones Soda : Form 2A- Listing Statement dated February 15, 2022 - Form 8-K https://t.co/20GegcTOMH #cannabis #weed #mar","['jsda', 'jones', 'soda', 'form', '2a-', 'listing', 'statement', 'dated', 'february', '15', '2022', 'form', '8-k', 'https', '//t.co/20gegctomh', 'cannabis', 'weed']"
756,"RT @GrowthFi: ""Entrenched in purpose: "" Founders of Viola and Gold Standard Farms live out their Black family legacies in the cannabis indu","['``', 'entrenched', 'purpose', '``', 'founders', 'viola', 'gold', 'standard', 'farms', 'live', 'black', 'family', 'legacies', 'cannabis', 'indu']"
774,RT @GrowthFi: Best HHC Cigarettes : Top Brands To Buy Hemp Cigarettes In 2022 | Best HHC Products From Strongest Weed Strains https://t.co/,"['best', 'hhc', 'cigarettes', 'top', 'brands', 'buy', 'hemp', 'cigarettes', '2022', 'best', 'hhc', 'products', 'strongest', 'weed', 'strains', 'https', '//t.co/']"
783,"RT @GrowthFi: As new brand ambassador for CBD product, Jimmie Johnson branches out with branding https://t.co/zUiNQhFy5n via @Yahoo #cannab","['new', 'brand', 'ambassador', 'cbd', 'product', 'jimmie', 'johnson', 'branches', 'branding', 'https', '//t.co/zuinqhfy5n', 'via', 'cannab']"
810,"RT @GrowthFi: COVID-19 Impact Analysis of Medical Marijuana Market 2028 | Key Players Cannabis Sativa, Inc.; Cara Therapeutics Inc., Inc.;","['covid-19', 'impact', 'analysis', 'medical', 'marijuana', 'market', '2028', 'key', 'players', 'cannabis', 'sativa', 'inc.', 'therapeutics', 'inc.', 'inc.']"
819,"RT @GrowthFi: $JSDA Jones Soda : Form 2A- Listing Statement dated February 15, 2022 - Form 8-K https://t.co/20GegcTOMH #cannabis #weed #mar","['jsda', 'jones', 'soda', 'form', '2a-', 'listing', 'statement', 'dated', 'february', '15', '2022', 'form', '8-k', 'https', '//t.co/20gegctomh', 'cannabis', 'weed']"
828,"RT @cana_kush: ""Posted byu/trilohunter
Day 54 Flower. Two ""Cherry Gar See Ya"" by Ethos and Two ""Forbidden Fruit"" crosses."" https://t.co/jpH","['``', 'posted', 'byu/trilohunter', 'day', '54', 'flower', 'two', '``', 'cherry', 'gar', 'see', ""''"", 'ethos', 'two', '``', 'forbidden', 'fruit', ""''"", 'crosses', ""''"", 'https', '//t.co/jph']"
891,RT @AngelOfCannabis: Stop right there! #StonerFam #smokeweed #CannabisCommunity https://t.co/bIGqhJj89X,"['stop', 'right', 'stonerfam', 'smokeweed', 'cannabiscommunity', 'https', '//t.co/bigqhjj89x']"
947,"If you haven't heard now you have@secretseshnfts @StonerApeClub @CryptoCannaClub 
.
.
.
#Secret #Ethereum https://t.co/UaLLsLhiXn","[""n't"", 'heard', 'secretseshnfts', 'secret', 'ethereum', 'https', '//t.co/uallslhixn']"
954,RT @AngelOfCannabis: Couple goals  #StonerFam #smokeweed #CannabisCommunity https://t.co/GNVpGBC8Uq,"['couple', 'goals', 'stonerfam', 'smokeweed', 'cannabiscommunity', 'https', '//t.co/gnvpgbc8uq']"
999,"RT @todd_harrison: Pablo on @Curaleaf_Inc 

 #cannabis 

/position $CURLF https://t.co/ElsiR1hDI0","['pablo', 'cannabis', '/position', 'curlf', 'https', '//t.co/elsir1hdi0']"
1026,RT @AngelOfCannabis:  #StonerFam #smokeweed #CannabisCommunity https://t.co/60SYfXVQ6r,"['stonerfam', 'smokeweed', 'cannabiscommunity', 'https', '//t.co/60syfxvq6r']"
1080,RT @Invest420: What's New With Cannabis Stocks for the Week Ending 02/25/22 https://t.co/GeTFRMucxW #cannabis $CEAD $FFLWF $HBORF $LOWLF $M,"[""'s"", 'new', 'cannabis', 'stocks', 'week', 'ending', '02/25/22', 'https', '//t.co/getfrmucxw', 'cannabis', 'cead', 'fflwf', 'hborf', 'lowlf']"
1179,"RT @AnaemekaJay: Buy #transhumancoin and thank me later.
@transhumancoin is a Crypto project that's merging Artificial Intelligence and Bio","['buy', 'thank', 'later', 'crypto', 'project', ""'s"", 'merging', 'artificial', 'intelligence', 'bio']"
1180,"RT @AnaemekaJay: Buy #transhumancoin and thank me later.
@transhumancoin is a Crypto project that's merging Artificial Intelligence and Bio","['buy', 'thank', 'later', 'crypto', 'project', ""'s"", 'merging', 'artificial', 'intelligence', 'bio']"
1260,RT @420JobsCareers: NEWS ALERT: Oregon Liquor &amp; Cannabis Commission Generates Record Revenue... @ LINK: https://t.co/pqSNaTmjS4 #Marijuana,"['news', 'alert', 'oregon', 'liquor', 'amp', 'cannabis', 'commission', 'generates', 'record', 'revenue', '...', 'link', 'https', '//t.co/pqsnatmjs4', 'marijuana']"
1296,"RT @KannabiaSeeds:  COOKIES HAZE by #KannabiaSeeds @IntKannabia @Kannabia_US @Kannabia_Samen
 Gracias al amigo #kannabista de IG @perrym","['cookies', 'haze', 'gracias', 'amigo', 'kannabista', 'ig', 'perrym']"
1297,"RT @KannabiaSeeds:  COOKIES HAZE by #KannabiaSeeds @IntKannabia @Kannabia_US @Kannabia_Samen
 Gracias al amigo #kannabista de IG @perrym","['cookies', 'haze', 'gracias', 'amigo', 'kannabista', 'ig', 'perrym']"
1298,"RT @KannabiaSeeds:  COOKIES HAZE by #KannabiaSeeds @IntKannabia @Kannabia_US @Kannabia_Samen
 Gracias al amigo #kannabista de IG @perrym","['cookies', 'haze', 'gracias', 'amigo', 'kannabista', 'ig', 'perrym']"
1299,"RT @KannabiaSeeds:  COOKIES HAZE by #KannabiaSeeds @IntKannabia @Kannabia_US @Kannabia_Samen
 Gracias al amigo #kannabista de IG @perrym","['cookies', 'haze', 'gracias', 'amigo', 'kannabista', 'ig', 'perrym']"
1305,"RT @KannabiaSeeds:  SATIVA DREAM by #KannabiaSeeds  @IntKannabia @Kannabia_US @Kannabia_Samen
 Gracias al amigo #kannabista de IG @perry","['sativa', 'dream', 'gracias', 'amigo', 'kannabista', 'ig', 'perry']"
1306,"RT @KannabiaSeeds:  SATIVA DREAM by #KannabiaSeeds  @IntKannabia @Kannabia_US @Kannabia_Samen
 Gracias al amigo #kannabista de IG @perry","['sativa', 'dream', 'gracias', 'amigo', 'kannabista', 'ig', 'perry']"
1307,"RT @KannabiaSeeds:  SATIVA DREAM by #KannabiaSeeds  @IntKannabia @Kannabia_US @Kannabia_Samen
 Gracias al amigo #kannabista de IG @perry","['sativa', 'dream', 'gracias', 'amigo', 'kannabista', 'ig', 'perry']"
1308,"RT @KannabiaSeeds:  SATIVA DREAM by #KannabiaSeeds  @IntKannabia @Kannabia_US @Kannabia_Samen
 Gracias al amigo #kannabista de IG @perry","['sativa', 'dream', 'gracias', 'amigo', 'kannabista', 'ig', 'perry']"
1341,"RT @KannabiaSeeds:  THCV by #KannabiaSeeds  @IntKannabia @Kannabia_Samen @Kannabia_US
 Gracias a los amigos #kannabistas @AdrycManellson","['thcv', 'gracias', 'amigos', 'kannabistas']"
1342,"RT @KannabiaSeeds:  THCV by #KannabiaSeeds  @IntKannabia @Kannabia_Samen @Kannabia_US
 Gracias a los amigos #kannabistas @AdrycManellson","['thcv', 'gracias', 'amigos', 'kannabistas']"
1343,"RT @KannabiaSeeds:  THCV by #KannabiaSeeds  @IntKannabia @Kannabia_Samen @Kannabia_US
 Gracias a los amigos #kannabistas @AdrycManellson","['thcv', 'gracias', 'amigos', 'kannabistas']"
1344,"RT @KannabiaSeeds:  THCV by #KannabiaSeeds  @IntKannabia @Kannabia_Samen @Kannabia_US
 Gracias a los amigos #kannabistas @AdrycManellson","['thcv', 'gracias', 'amigos', 'kannabistas']"
1359,"RT @IntKannabia:  SATIVA DREAM by #KannabiaSeeds  @KannabiaSeeds @Kannabia_US @Kannabia_Samen
 thanks to our IG #kannabista friend @perr","['sativa', 'dream', 'thanks', 'ig', 'kannabista', 'friend', 'perr']"
1360,"RT @IntKannabia:  SATIVA DREAM by #KannabiaSeeds  @KannabiaSeeds @Kannabia_US @Kannabia_Samen
 thanks to our IG #kannabista friend @perr","['sativa', 'dream', 'thanks', 'ig', 'kannabista', 'friend', 'perr']"
1361,"RT @IntKannabia:  SATIVA DREAM by #KannabiaSeeds  @KannabiaSeeds @Kannabia_US @Kannabia_Samen
 thanks to our IG #kannabista friend @perr","['sativa', 'dream', 'thanks', 'ig', 'kannabista', 'friend', 'perr']"
1362,"RT @IntKannabia:  SATIVA DREAM by #KannabiaSeeds  @KannabiaSeeds @Kannabia_US @Kannabia_Samen
 thanks to our IG #kannabista friend @perr","['sativa', 'dream', 'thanks', 'ig', 'kannabista', 'friend', 'perr']"
1377,RT @AngelOfCannabis:  #StonerFam #smokeweed #CannabisCommunity https://t.co/60SYfXVQ6r,"['stonerfam', 'smokeweed', 'cannabiscommunity', 'https', '//t.co/60syfxvq6r']"
1404,"RT @LePro_1:  Make Art Not War! 

Crypto Cannabis Art Collection at @OpenSea 
1/1 hand-drawn illustrations of cannabis flowers 

#","['make', 'art', 'crypto', 'cannabis', 'art', 'collection', '1/1', 'hand-drawn', 'illustrations', 'cannabis', 'flowers']"
1405,"RT @LePro_1:  Make Art Not War! 

Crypto Cannabis Art Collection at @OpenSea 
1/1 hand-drawn illustrations of cannabis flowers 

#","['make', 'art', 'crypto', 'cannabis', 'art', 'collection', '1/1', 'hand-drawn', 'illustrations', 'cannabis', 'flowers']"
1431,"RT @todd_harrison: Pablo on @Curaleaf_Inc 

 #cannabis 

/position $CURLF https://t.co/ElsiR1hDI0","['pablo', 'cannabis', '/position', 'curlf', 'https', '//t.co/elsir1hdi0']"
1485,"RT @CBDSmokeShop: #edibles #cbdoil #prerolls #cannabis  #vapejuice #cannabiscommunity Relax Gummies CBD Gummy Bears 500mg are natural, THC","['edibles', 'cbdoil', 'prerolls', 'cannabis', 'vapejuice', 'cannabiscommunity', 'relax', 'gummies', 'cbd', 'gummy', 'bears', '500mg', 'natural', 'thc']"
1503,RT @CBDSmokeShop: #edibles #cbdoil #prerolls #cannabis  #vapejuice #cannabiscommunity Delta-8 THC Chocolate Bar Milk Chocolate smooth rich,"['edibles', 'cbdoil', 'prerolls', 'cannabis', 'vapejuice', 'cannabiscommunity', 'delta-8', 'thc', 'chocolate', 'bar', 'milk', 'chocolate', 'smooth', 'rich']"
1521,RT @CBDSmokeShop: #edibles #cbdoil #prerolls #cannabis  #vapejuice #cannabiscommunity With our in-house selection of pre-filled CBD vape oi,"['edibles', 'cbdoil', 'prerolls', 'cannabis', 'vapejuice', 'cannabiscommunity', 'in-house', 'selection', 'pre-filled', 'cbd', 'vape', 'oi']"
1530,RT @CBDSmokeShop: #edibles #cbdoil #prerolls #cannabis  #vapejuice #cannabiscommunity Now you can enjoy whole flower hemp Delta-8 Hemp Flow,"['edibles', 'cbdoil', 'prerolls', 'cannabis', 'vapejuice', 'cannabiscommunity', 'enjoy', 'whole', 'flower', 'hemp', 'delta-8', 'hemp', 'flow']"
1539,RT @CBDSmokeShop: #edibles #cbdoil #prerolls #cannabis  #vapejuice #cannabiscommunity Yum Yum Gummies 750x CBD Infused Gummy Bears use natu,"['edibles', 'cbdoil', 'prerolls', 'cannabis', 'vapejuice', 'cannabiscommunity', 'yum', 'yum', 'gummies', '750x', 'cbd', 'infused', 'gummy', 'bears', 'use', 'natu']"
1548,"RT @ReyLotto: #LOTTOREY
25/02/2022
5:30 pm
Sorteo#: 5034
06 Rana 

Quieres plata?JuegaLottoRey
juegal #Legal
#RT #RT 
#25Febrero","['lottorey', '25/02/2022', '5:30', 'pm', 'sorteo', '5034', '06', 'rana', 'quieres', 'plata', 'juegalottorey', 'juegal', 'legal', '25febrero']"
1638,"RT @AnaemekaJay: Buy #transhumancoin and thank me later.
@transhumancoin is a Crypto project that's merging Artificial Intelligence and Bio","['buy', 'thank', 'later', 'crypto', 'project', ""'s"", 'merging', 'artificial', 'intelligence', 'bio']"
1639,"RT @AnaemekaJay: Buy #transhumancoin and thank me later.
@transhumancoin is a Crypto project that's merging Artificial Intelligence and Bio","['buy', 'thank', 'later', 'crypto', 'project', ""'s"", 'merging', 'artificial', 'intelligence', 'bio']"
1648,"RT @Nonso_marine: It's best you go for @transhumancoin so as to improve humanity health-wise and wealth-wise 
#TranshumanCoin 
#THC
#Transh","[""'s"", 'best', 'go', 'improve', 'humanity', 'health-wise', 'wealth-wise', 'thc', 'transh']"
1666,RT @saveoncannabis: Sweeping Cannabis Legalization Bill Introduced in Missouri https://t.co/kOquiAowcC via @ganjapreneur #currentnews #arti,"['sweeping', 'cannabis', 'legalization', 'bill', 'introduced', 'missouri', 'https', '//t.co/koquiaowcc', 'via', 'currentnews', 'arti']"
1674,RT @CBDSmokeShop: #edibles #cbdoil #prerolls #cannabis  #vapejuice #cannabiscommunity It's like a buzz from the ice cream man with Orange C,"['edibles', 'cbdoil', 'prerolls', 'cannabis', 'vapejuice', 'cannabiscommunity', ""'s"", 'like', 'buzz', 'ice', 'cream', 'orange']"
1692,"RT @CBDSmokeShop: #edibles #cbdoil #prerolls #cannabis  #vapejuice #cannabiscommunity Vape Liquid [12ml] Watermelon Liquid Gold

New and im","['edibles', 'cbdoil', 'prerolls', 'cannabis', 'vapejuice', 'cannabiscommunity', 'vape', 'liquid', '12ml', 'watermelon', 'liquid', 'gold', 'new']"
1701,"RT @CBDSmokeShop: #edibles #cbdoil #prerolls #cannabis  #vapejuice #cannabiscommunity R.A. Royal Fruits  1000x CBD Infused Apricots

R.A.","['edibles', 'cbdoil', 'prerolls', 'cannabis', 'vapejuice', 'cannabiscommunity', 'r.a.', 'royal', 'fruits', '1000x', 'cbd', 'infused', 'apricots', 'r.a']"
1710,RT @CBDSmokeShop: #edibles #cbdoil #prerolls #cannabis  #vapejuice #cannabiscommunity Overdose Delta-8 Cube Gummies are the boldest way to,"['edibles', 'cbdoil', 'prerolls', 'cannabis', 'vapejuice', 'cannabiscommunity', 'overdose', 'delta-8', 'cube', 'gummies', 'boldest', 'way']"
1746,"RT @NORML: In 1999, the first study to document the efficacy of #THC as a treatment for patients with #Tourette syndrome reported a drop in","['1999', 'first', 'study', 'document', 'efficacy', 'thc', 'treatment', 'patients', 'tourette', 'syndrome', 'reported', 'drop']"
1791,"RT @CBDSmokeShop: #edibles #cbdoil #prerolls #cannabis  #vapejuice #cannabiscommunity Vape Pod Device Kit

Introducing the latest in pod va","['edibles', 'cbdoil', 'prerolls', 'cannabis', 'vapejuice', 'cannabiscommunity', 'vape', 'device', 'kit', 'introducing', 'latest']"
2034,"RT @todd_harrison: Pablo on @Curaleaf_Inc 

 #cannabis 

/position $CURLF https://t.co/ElsiR1hDI0","['pablo', 'cannabis', '/position', 'curlf', 'https', '//t.co/elsir1hdi0']"
2124,"RT @todd_harrison: Pablo on @Curaleaf_Inc 

 #cannabis 

/position $CURLF https://t.co/ElsiR1hDI0","['pablo', 'cannabis', '/position', 'curlf', 'https', '//t.co/elsir1hdi0']"
2142,RT @AngelOfCannabis:  #StonerFam #smokeweed #CannabisCommunity https://t.co/BmyuC4NZ5e,"['stonerfam', 'smokeweed', 'cannabiscommunity', 'https', '//t.co/bmyuc4nz5e']"
2179,"RT @Nonso_marine: It's best you go for @transhumancoin so as to improve humanity health-wise and wealth-wise 
#TranshumanCoin 
#THC
#Transh","[""'s"", 'best', 'go', 'improve', 'humanity', 'health-wise', 'wealth-wise', 'thc', 'transh']"
2205,RT @AngelOfCannabis: Ganjaland  #StonerFam #smokeweed #CannabisCommunity https://t.co/JarYkXyKRu,"['ganjaland', 'stonerfam', 'smokeweed', 'cannabiscommunity', 'https', '//t.co/jarykxykru']"
2214,"RT @AngelOfCannabis: Agree or no? Ive dated hot guys &amp; stuff, I've also had friends make fun of the way some of my ex fiances looked~ 1 fr","['agree', 'ive', 'dated', 'hot', 'guys', 'amp', 'stuff', ""'ve"", 'friends', 'make', 'fun', 'way', 'ex', 'fiances', 'looked~', 'fr']"
2241,"RT @cana_kush: ""Posted byu/smoknkc
Showoff
The smells from DG, Forum Stomper and SN is unreal!!!"" https://t.co/EKt11WuV4X

#cannabis  FREE","['``', 'posted', 'byu/smoknkc', 'showoff', 'smells', 'dg', 'forum', 'stomper', 'sn', 'unreal', ""''"", 'https', '//t.co/ekt11wuv4x', 'cannabis', 'free']"
2268,"RT @todd_harrison: Pablo on @Curaleaf_Inc 

 #cannabis 

/position $CURLF https://t.co/ElsiR1hDI0","['pablo', 'cannabis', '/position', 'curlf', 'https', '//t.co/elsir1hdi0']"
2286,RT @MMPconnect: #cannabiscommunity #marijuana #cannabis Marijuana and Mushrooms are Centerstage This Weekend in Miami  World News Report,"['cannabiscommunity', 'marijuana', 'cannabis', 'marijuana', 'mushrooms', 'centerstage', 'weekend', 'miami', 'world', 'news', 'report']"
2331,"RT @canna_journal: NCAA Raises Marijuana Testing Threshold #cannabis
https://t.co/21M8lEgYjv","['raises', 'marijuana', 'testing', 'threshold', 'cannabis', 'https', '//t.co/21m8legyjv']"
2340,"RT @todd_harrison: Pablo on @Curaleaf_Inc 

 #cannabis 

/position $CURLF https://t.co/ElsiR1hDI0","['pablo', 'cannabis', '/position', 'curlf', 'https', '//t.co/elsir1hdi0']"
2421,"RT @todd_harrison: Pablo on @Curaleaf_Inc 

 #cannabis 

/position $CURLF https://t.co/ElsiR1hDI0","['pablo', 'cannabis', '/position', 'curlf', 'https', '//t.co/elsir1hdi0']"
2520,"@CihanYedek https://t.co/LVK05Y3rTb
@CihanYedek
https://t.co/GoQiopN5Xc 
#bobmarley #reggae #jamaica #reggaemusic https://t.co/MnFMxHm7eI","['https', '//t.co/lvk05y3rtb', 'https', '//t.co/goqiopn5xc', 'reggae', 'jamaica', 'reggaemusic', 'https', '//t.co/mnfmxhm7ei']"
2521,"@CihanYedek https://t.co/LVK05Y3rTb
@CihanYedek
https://t.co/GoQiopN5Xc 
#bobmarley #reggae #jamaica #reggaemusic https://t.co/MnFMxHm7eI","['https', '//t.co/lvk05y3rtb', 'https', '//t.co/goqiopn5xc', 'reggae', 'jamaica', 'reggaemusic', 'https', '//t.co/mnfmxhm7ei']"
2529,"The $THC from @ThetanArena is now at $0.01483 
 Is up 0.833% compare to 1 hour ago
 and is down -10.173% compare https://t.co/tHrB1Coxp2","['thc', '0.01483', '0.833', 'compare', 'hour', 'ago', '-10.173', 'compare', 'https', '//t.co/thrb1coxp2']"
2583,"@CihanYedek https://t.co/LVK05Yl2KJ
@CihanYedek
https://t.co/GoQiopvuyC 
#bobmarley #reggae #jamaica #reggaemusic https://t.co/jmxGvQP57J","['https', '//t.co/lvk05yl2kj', 'https', '//t.co/goqiopvuyc', 'reggae', 'jamaica', 'reggaemusic', 'https', '//t.co/jmxgvqp57j']"
2584,"@CihanYedek https://t.co/LVK05Yl2KJ
@CihanYedek
https://t.co/GoQiopvuyC 
#bobmarley #reggae #jamaica #reggaemusic https://t.co/jmxGvQP57J","['https', '//t.co/lvk05yl2kj', 'https', '//t.co/goqiopvuyc', 'reggae', 'jamaica', 'reggaemusic', 'https', '//t.co/jmxgvqp57j']"
2655,"RT @BlissfieldBall: 
                *Fruity Pebbles*
#Mmemberville #cannabisculture 
#CannabisCommunity #Weedmob 
#WeedLove","['fruity', 'pebbles', 'mmemberville', 'cannabiscommunity', 'weedmob', 'weedlove']"
2691,RT @AngelOfCannabis: Stop right there! #StonerFam #smokeweed #CannabisCommunity https://t.co/bIGqhJj89X,"['stop', 'right', 'stonerfam', 'smokeweed', 'cannabiscommunity', 'https', '//t.co/bigqhjj89x']"
2700,"@CihanYedek https://t.co/LVK05Y3rTb
@CihanYedek
https://t.co/GoQiopN5Xc 
#bobmarley #reggae #jamaica #reggaemusic https://t.co/f3voaAaS53","['https', '//t.co/lvk05y3rtb', 'https', '//t.co/goqiopn5xc', 'reggae', 'jamaica', 'reggaemusic', 'https', '//t.co/f3voaaas53']"
2701,"@CihanYedek https://t.co/LVK05Y3rTb
@CihanYedek
https://t.co/GoQiopN5Xc 
#bobmarley #reggae #jamaica #reggaemusic https://t.co/f3voaAaS53","['https', '//t.co/lvk05y3rtb', 'https', '//t.co/goqiopn5xc', 'reggae', 'jamaica', 'reggaemusic', 'https', '//t.co/f3voaaas53']"
2718,"RT @BlissfieldBall: 
                *Fruity Pebbles*
#Mmemberville #cannabisculture 
#CannabisCommunity #Weedmob 
#WeedLove","['fruity', 'pebbles', 'mmemberville', 'cannabiscommunity', 'weedmob', 'weedlove']"
2727,"@CihanYedek https://t.co/LVK05Y3rTb
@CihanYedek
https://t.co/GoQiopN5Xc 
#bobmarley #reggae #jamaica #reggaemusic https://t.co/2XlSi9CfMc","['https', '//t.co/lvk05y3rtb', 'https', '//t.co/goqiopn5xc', 'reggae', 'jamaica', 'reggaemusic', 'https', '//t.co/2xlsi9cfmc']"
2728,"@CihanYedek https://t.co/LVK05Y3rTb
@CihanYedek
https://t.co/GoQiopN5Xc 
#bobmarley #reggae #jamaica #reggaemusic https://t.co/2XlSi9CfMc","['https', '//t.co/lvk05y3rtb', 'https', '//t.co/goqiopn5xc', 'reggae', 'jamaica', 'reggaemusic', 'https', '//t.co/2xlsi9cfmc']"
2925,RT @AngelOfCannabis:  #StonerFam #smokeweed #CannabisCommunity https://t.co/BmyuC4NZ5e,"['stonerfam', 'smokeweed', 'cannabiscommunity', 'https', '//t.co/bmyuc4nz5e']"
2934,"RT @BlissfieldBall: 
                    *Pink Rozay*
#Mmemberville #cannabisculture 
#CannabisCommunity #StonerFam 
#Weedmob","['pink', 'rozay', 'mmemberville', 'cannabiscommunity', 'stonerfam', 'weedmob']"
2952,"@CihanYedek https://t.co/LVK05Y3rTb
@CihanYedek
https://t.co/GoQiopN5Xc 
#bobmarley #reggae #jamaica #reggaemusic https://t.co/SBgVPOupLX","['https', '//t.co/lvk05y3rtb', 'https', '//t.co/goqiopn5xc', 'reggae', 'jamaica', 'reggaemusic', 'https', '//t.co/sbgvpouplx']"
